daily_review_capacity,days,total_reviews,fraud_transactions_caught,false_alerts,fraud_recall_pct,fraud_value_caught,fraud_value_capture_pct,fraud_per_100_reviews
500,5,2500,2500,0,1.0361792341392044,14237508.2,0.0493552930533764,100.0
1000,5,5000,5000,0,2.072358468278409,126107996.72,0.4371619701325145,100.0
2000,5,10000,10000,0,4.144716936556818,1250218824.7000003,4.333968810210507,100.0
5000,5,25000,25000,0,10.361792341392045,3551478145.829998,12.311441173400091,100.0
10000,5,50000,50000,0,20.72358468278409,6219898067.549993,21.561700795793712,100.0
