system,flagged_transactions,review_rate_pct,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1,fraud_value_caught,fraud_value_capture_pct
Behavioral rules,172180,14.271138367381107,99988,72192,141283,893028,0.5807178534092229,0.4144219570524431,0.48367521181470113,21074098932.630028,73.05480102591281
ML only,232246,19.249708452031552,225252,6994,16019,958226,0.969885380157247,0.9336057793932964,0.9513998441449832,27846116981.97999,96.53046338854604
ML + behavioral rules,304728,25.257378629430306,230367,74361,10904,890859,0.755975821060093,0.9548060065237844,0.8438367103236454,28533423992.150005,98.91306000784638
Synthetic network rules,179902,14.911176295554629,179902,0,61369,965220,1.0,0.7456428663204446,0.8542902797662718,21655376232.09001,75.0698384227041
ML + network rules,244223,20.24242203215772,237229,6994,4042,958226,0.9713622386097951,0.9832470541424373,0.9772685141319976,28609097585.510014,99.17538767953017
