transaction_date,transactions,fraud_transactions,actual_fraud_rate_pct,avg_fraud_probability,alert_rate_pct,true_positives,false_positives,false_negatives,avg_transaction_amount,precision,recall
2024-10-26,240929,48239.0,20.0221,0.221231,19.2596,44989.0,1413.0,3250.0,48238.06,0.9695487263480023,0.9326271274280147
2024-10-27,241735,48792.0,20.1841,0.22255,19.3981,45506.0,1386.0,3286.0,48181.14,0.9704427194404163,0.9326528939170355
2024-10-28,241010,48058.0,19.9403,0.220717,19.2249,44944.0,1390.0,3114.0,48454.2,0.9700004316484655,0.9352032960173124
2024-10-29,241208,47645.0,19.7527,0.218824,18.9998,44432.0,1397.0,3213.0,47360.16,0.9695171179820637,0.9325637527547487
2024-10-30,241609,48537.0,20.0891,0.222207,19.3656,45381.0,1408.0,3156.0,48422.24,0.9699074568808909,0.934977439891217
